"","fte_pollster_name","pollster","id","type","date","confidenceInterval","sampleSize","marginError","partisan","spread.name","spread.affiliation","spread.value","spread.color","updated","link","data_start_date","data_end_date","pollster_type","name","affiliation","value","color","Biden","Sanders","Warren","Bloomberg","Buttigieg","Klobuchar","Harris","O'Rourke","Yang","Gabbard","Booker","Steyer","Bennet","Patrick","Delaney","Castro","Williamson","Bullock","Sestak","Messam","Ryan","de Blasio","Gillibrand","Inslee","Hickenlooper","Moulton","Swalwell","Gravel","Brown","Holder","Clinton","McAuliffe","Pollster.Rating.ID","X..of.Polls","NCPP...AAPOR...Roper","Live.Caller.With.Cellphones","Methodology","Banned.by.538","Historical.Advanced.Plus.Minus","Predictive....Plus.Minus","X538.Grade","Mean.Reverted.Bias","Races.Called.Correctly","Misses.Outside.MOE","Simple.Average.Error","Simple.Expected.Error","Simple.Plus.Minus","Advanced.Plus.Minus","Mean.Reverted.Advanced.Plus.Minus","Predictive.Plus.Minus","X..of.Polls.for.Bias.Analysis","Bias","Mean.Reverted.Bias.1","House.Effect","Average.Distance.from.Polling.Average..ADPA.","Herding.Penalty"
"263",NA,"CBS News/YouGov","126662","poll","2/20 - 2/22","","6498 LV","","",Sanders,,+9.0,#457fff,2020-02-23 11:16:53,"https://drive.google.com/file/d/1OpQxzzYY4MXgQMfo2j_XicB_tEUtt7eI/view",2020-02-20,2020-02-22,"1","Sanders","","+9.0","#457fff",17,28.0,19,13,10, 5,NA,NA,NA, 1,NA, 2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","Emerson College","Emerson","126553","poll","2/16 - 2/18","","573 LV","","",Sanders,,+7.0,#457fff,2020-02-18 21:46:51,"https://emersonpolling.reportablenews.com/pr/february-national-poll-sanders-takes-the-lead-for-democratic-nomination-bloomberg-on-the-rise",2020-02-16,2020-02-18,"1","Sanders","","+7.0","#457fff",22,29.0,12,14, 8, 6,NA,NA,NA, 4,NA, 3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, 88,142,"yes","no","IVR/Online","no",-1.1,-0.5,"A-","R +0.0","81%","18%",5.0,6.1,-0.9,-1.1,-1.0,-0.5,113,"R +0.0","R +0.0","R +1.4",4.8,0.23
"243","YouGov","Economist/YouGov","126575","poll","2/16 - 2/18","","555 LV","","",Sanders,,+6.0,#457fff,2020-02-19 09:49:25,"https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/m3wzkd0n59/econTabReport.pdf",2020-02-16,2020-02-18,"1","Sanders","","+6.0","#457fff",18,24.0,16,12,11, 7,NA,NA,NA, 2,NA, 2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,391,395,"no","no","Online","no",-0.1, 0.4,"B-","D +0.4","89%","30%",5.0,5.1, 0.0,-0.1,-0.1, 0.4,347,"D +0.4","D +0.4","D +0.3",4.6,0.00
"6","ABC News/Washington Post","ABC News/Wash Post","126562","poll","2/14 - 2/17","","408 RV","","",Sanders,,+16.0,#457fff,2020-02-19 08:12:26,"https://www.langerresearch.com/wp-content/uploads/1211a12020Politics.pdf",2020-02-14,2020-02-17,"1","Sanders","","+16.0","#457fff",16,32.0,12,14, 8, 7,NA,NA,NA, 1,NA, 2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  3, 63,"yes","yes","Live","no",-1.5,-1.3,"A+","D +0.6","79%","5%",2.8,4.6,-1.7,-1.5,-1.1,-1.3, 58,"D +0.9","D +0.6","D +1.5",3.8,0.02
"83","Ipsos","Reuters/Ipsos","126802","poll","2/14 - 2/17","","385 RV","","",Sanders,,+11.0,#457fff,2020-02-28 18:07:59,"https://www.realclearpolitics.com/docs/2020/Ipsos_Democratic_Primary_Tracker_Feb_14-17,_2020.pdf",2020-02-14,2020-02-17,"1","Sanders","","+11.0","#457fff",15,28.0, 9,17,12, 5,NA,NA,NA, 0,NA, 3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,154, 66,"yes","no","Online","no", 0.3, 0.5,"B-","D +0.2","71%","23%",4.5,4.8,-0.1, 0.3, 0.2, 0.5, 60,"D +0.3","D +0.2","D +0.8",3.5,0.16
"102","Morning Consult","Politico/Morning Consult","126571","poll","2/12 - 2/17","","15974 RV","","",Sanders,,+8.0,#457fff,2020-02-28 17:58:33,"https://morningconsult.com/2020-democratic-primary/",2020-02-12,2020-02-17,"1","Sanders","","+8.0","#457fff",19,28.0,10,20,12, 6,NA,NA,NA, 2,NA, 3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,218, 12,"no","no","Online","no", 0.2, 1.0,"B/C°","D +0.2","75%","25%",3.0,3.5,-0.4, 0.2, 0.1, 1.0, 12,"D +0.6","D +0.2","R +0.6",3.6,0.00
"173","NBC News/Wall Street Journal","NBC News/Wall St. Jrnl","126542","poll","2/14 - 2/17","","426 LV","","",Sanders,,+12.0,#457fff,2020-02-18 17:18:36,"https://www.documentcloud.org/documents/6779408-200085-NBCWSJ-February-Poll.html",2020-02-14,2020-02-17,"1","Sanders","","+12.0","#457fff",15,27.0,14,14,13, 7,NA,NA,NA, 1,NA, 2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,221, 29,"yes","yes","Live","no",-0.6,-0.4,"A/B°","D +0.8","74%","14%",4.0,5.0,-0.8,-0.6,-0.3,-0.4, 24,"D +1.7","D +0.8","D +1.3",2.9,0.53
"204","SurveyUSA","SurveyUSA","126550","poll","2/13 - 2/17","","1022 LV","","",Sanders,,+11.0,#457fff,2020-02-18 17:34:25,"http://www.surveyusa.com/client/PollReport.aspx?g=e7feecd9-5374-42de-bfff-d16dba2dae6a",2020-02-13,2020-02-17,"1","Sanders","","+11.0","#457fff",18,29.0,10,18,12, 4,NA,NA,NA,NA,NA, 2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,325,790,"yes","partial","IVR/Online/Live","no",-1.1,-0.8,"A","D +0.1","90%","19%",4.6,5.9,-1.1,-1.1,-1.0,-0.8,628,"D +0.1","D +0.1","R +0.3",5.0,0.12
"89","Marist College","NPR/PBS/Marist","126522","poll","2/13 - 2/16","","527 RV","","",Sanders,,+12.0,#457fff,2020-02-18 06:58:22,"http://maristpoll.marist.edu/wp-content/uploads/2020/02/UPDATED_Tuesday-Release_NPR_PBS-NewsHour_Marist-Poll_USA-NOS-and-Tables_2002171446.pdf",2020-02-13,2020-02-16,"1","Sanders","","+12.0","#457fff",15,31.0,12,19, 8, 9,NA,NA,NA, 0,NA, 2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,183,172,"yes","yes","Live","no",-1.1,-1.0,"A+","R +0.2","84%","24%",5.2,6.3,-1.0,-1.1,-0.9,-1.0,111,"R +0.2","R +0.2","R +0.0",5.1,0.03
"277",NA,"The Hill/HarrisX","126577","poll","2/14 - 2/15","","449 RV","","",Sanders,,+3.0,#457fff,2020-02-19 13:36:55,"https://www.youtube.com/watch?v=pXGbc6ZmQvw",2020-02-14,2020-02-15,"1","Sanders","","+3.0","#457fff",19,22.0,12,18,10, 5,NA,NA,NA, 0,NA, 3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"241","YouGov","Economist/YouGov","126450","poll","2/9 - 2/11","","552 LV","","",Sanders,,+4.0,#457fff,2020-02-12 08:45:47,"https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/79zfxkws33/econTabReport.pdf",2020-02-09,2020-02-11,"1","Sanders","","+4.0","#457fff",18,22.0,15,12,10, 7,NA,NA, 2, 4,NA, 1, 0, 0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,391,395,"no","no","Online","no",-0.1, 0.4,"B-","D +0.4","89%","30%",5.0,5.1, 0.0,-0.1,-0.1, 0.4,347,"D +0.4","D +0.4","D +0.3",4.6,0.00
"77","Ipsos","Reuters/Ipsos","126803","poll","2/7 - 2/10","","436 RV","","",Tie,,,,2020-02-28 18:12:52,"https://www.realclearpolitics.com/docs/2020/Ipsos_Democratic_Primary_Tracker_Feb_7-10,_2020.pdf",2020-02-07,2020-02-10,"1","Tie","","","",21,21.0,13,15, 8, 3,NA,NA,NA, 0,NA, 2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,154, 66,"yes","no","Online","no", 0.3, 0.5,"B-","D +0.2","71%","23%",4.5,4.8,-0.1, 0.3, 0.2, 0.5, 60,"D +0.3","D +0.2","D +0.8",3.5,0.16
"265",NA,"The Hill/HarrisX","126448","poll","2/7 - 2/10","","913 RV","","",Biden,,+3.0,#009900,2020-02-11 21:29:10,"https://projects.fivethirtyeight.com/polls/president-primary-d/",2020-02-07,2020-02-10,"1","Biden","","+3.0","#009900",23,20.0, 9,16, 9, 3,NA,NA, 3, 1,NA, 3, 1, 1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"93","Monmouth University","Monmouth","126444","poll","2/6 - 2/9","","357 RV","5.2","",Sanders,,+10.0,#457fff,2020-02-11 09:52:30,"https://www.monmouth.edu/polling-institute/reports/monmouthpoll_US_021120/",2020-02-06,2020-02-09,"1","Sanders","","+10.0","#457fff",16,26.0,13,11,13, 6,NA,NA, 4, 1,NA, 1, 0, 0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,215,100,"yes","yes","Live","no",-1.9,-1.5,"A+","D +1.3","80%","21%",5.2,6.5,-1.1,-1.9,-1.6,-1.5, 70,"D +1.8","D +1.3","R +0.5",5.1,0.20
"129","Morning Consult","Politico/Morning Consult","126443","poll","2/4 - 2/9","","15346 RV","","",Sanders,,+3.0,#457fff,2020-02-19 08:51:09,"https://morningconsult.com/2020-democratic-primary/",2020-02-04,2020-02-09,"1","Sanders","","+3.0","#457fff",22,25.0,11,17,11, 3,NA,NA, 4, 1,NA, 3, 1, 0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,218, 12,"no","no","Online","no", 0.2, 1.0,"B/C°","D +0.2","75%","25%",3.0,3.5,-0.4, 0.2, 0.1, 1.0, 12,"D +0.6","D +0.2","R +0.6",3.6,0.00
"192","Quinnipiac University","Quinnipiac","126416","poll","2/5 - 2/9","","665 RV","3.8","",Sanders,,+8.0,#457fff,2020-02-10 14:06:48,"https://poll.qu.edu/national/release-detail?ReleaseID=3655",2020-02-05,2020-02-09,"1","Sanders","","+8.0","#457fff",17,25.0,14,15,10, 4,NA,NA, 2, 1,NA, 1, 0, 0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,267,204,"yes","yes","Live","no",-0.1,-0.2,"B+","D +0.2","83%","25%",4.6,5.5,-0.7,-0.1,-0.1,-0.2,152,"D +0.2","D +0.2","D +0.5",5.2,0.00
"234","YouGov","Economist/YouGov","126334","poll","2/2 - 2/4","","616 RV","","",Biden,,+5.0,#009900,2020-02-05 10:00:38,"https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/73jqd6u5mv/econTabReport.pdf",2020-02-02,2020-02-04,"1","Biden","","+5.0","#009900",24,19.0,18, 9, 9, 6,NA,NA, 3, 3,NA, 2, 1, 0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,391,395,"no","no","Online","no",-0.1, 0.4,"B-","D +0.4","89%","30%",5.0,5.1, 0.0,-0.1,-0.1, 0.4,347,"D +0.4","D +0.4","D +0.3",4.6,0.00
"76","Ipsos","Reuters/Ipsos","126804","poll","1/31 - 2/3","","430 RV","","",Biden,,+6.0,#009900,2020-02-28 18:16:32,"https://www.realclearpolitics.com/docs/2020/Ipsos_Democratic_Primary_Tracker_Jan_31_-_Feb_3,_2020.pdf",2020-01-31,2020-02-03,"1","Biden","","+6.0","#009900",27,21.0,12, 9, 6, 5,NA,NA,NA, 1,NA, 3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,154, 66,"yes","no","Online","no", 0.3, 0.5,"B-","D +0.2","71%","23%",4.5,4.8,-0.1, 0.3, 0.2, 0.5, 60,"D +0.3","D +0.2","D +0.8",3.5,0.16
"103","Morning Consult","Politico/Morning Consult","126315","poll","1/27 - 2/2","","15259 RV","","",Biden,,+4.0,#009900,2020-02-19 08:51:45,"https://morningconsult.com/2020-democratic-primary/",2020-01-27,2020-02-02,"1","Biden","","+4.0","#009900",28,24.0,14,14, 6, 3,NA,NA, 4, 2,NA, 3, 1, 1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,218, 12,"no","no","Online","no", 0.2, 1.0,"B/C°","D +0.2","75%","25%",3.0,3.5,-0.4, 0.2, 0.1, 1.0, 12,"D +0.6","D +0.2","R +0.6",3.6,0.00
"72","IBD/TIPP","IBD/TIPP","126289","poll","1/23 - 1/30","","336 RV","","",Biden,,+7.0,#009900,2020-01-31 15:39:38,"https://www.investors.com/politics/trump-impeachment-trial-americans-oppose-removal-ibd-tipp/",2020-01-23,2020-01-30,"1","Biden","","+7.0","#009900",26,19.0,13, 8, 7, 3,NA,NA, 4, 1,NA, 2, 1, 0, 0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,144, 22,"yes","yes","Live","no",-2.0,-1.1,"A/B°","R +0.8","73%","5%",2.1,4.0,-1.7,-2.0,-0.9,-1.1, 22,"R +1.8","R +0.8","R +1.3",3.4,0.23
"65","Harris Insights & Analytics","Harvard-Harris","126322","poll","1/27 - 1/29","","980 RV","","",Biden,,+11.0,#009900,2020-02-05 11:07:44,"https://thehill.com/homenews/campaign/481245-trump-trails-democrats-but-approval-near-highs",2020-01-27,2020-01-29,"1","Biden","","+11.0","#009900",31,20.0,12,13, 6, 3,NA,NA, 3, 1,NA, 2,NA,NA, 0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,133,169,"yes","no","Online","no", 0.8, 0.9,"C+","R +1.3","83%","49%",5.1,3.5, 1.8, 0.8, 0.6, 0.9,169,"R +1.5","R +1.3","D +0.7",4.0,0.00
"172","NBC News/Wall Street Journal","NBC News/Wall St. Jrnl","126277","poll","1/26 - 1/29","","428 LV","","",Sanders,,+1.0,#457fff,2020-01-31 08:26:50,"https://www.nbcnews.com/politics/2020-election/sanders-biden-are-neck-neck-new-nbc-wsj-national-poll-n1127051",2020-01-26,2020-01-29,"1","Sanders","","+1.0","#457fff",26,27.0,15, 9, 7, 5,NA,NA, 4, 2,NA, 2, 0, 1, 0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,221, 29,"yes","yes","Live","no",-0.6,-0.4,"A/B°","D +0.8","74%","14%",4.0,5.0,-0.8,-0.6,-0.3,-0.4, 24,"D +1.7","D +0.8","D +1.3",2.9,0.53
"208","USC Dornsife/LA Times","LA Times/USC","126276","poll","1/15 - 1/28","","2227 LV","","",Biden,,+16.0,#009900,2020-01-31 11:17:27,"https://www.latimes.com/politics/story/2020-01-31/joe-biden-holds-lead-in-national-poll-is-it-a-firewall-against-iowa-new-hampshire-losses",2020-01-15,2020-01-28,"1","Biden","","+16.0","#009900",34,18.0,16, 9, 9, 3,NA,NA, 2, 1,NA, 2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,343,  6,"yes","no","Online","no", 3.5, 1.2,"B/C°","D +0.3","67%","83%",5.3,3.1, 2.3, 3.5, 0.8, 1.2,  6,"D +1.2","D +0.3","D +1.1",9.0,0.00
"235","YouGov","Economist/YouGov","126226","poll","1/26 - 1/28","","591 RV","","",Biden,,+2.0,#009900,2020-01-29 09:49:25,"https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/3ormein07a/econTabReport.pdf",2020-01-26,2020-01-28,"1","Biden","","+2.0","#009900",26,24.0,20, 4, 7, 4,NA,NA, 4, 3,NA, 1, 0, 1, 0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,391,395,"no","no","Online","no",-0.1, 0.4,"B-","D +0.4","89%","30%",5.0,5.1, 0.0,-0.1,-0.1, 0.4,347,"D +0.4","D +0.4","D +0.3",4.6,0.00
"196","Quinnipiac University","Quinnipiac","126202","poll","1/22 - 1/27","","827 RV","3.4","",Biden,,+5.0,#009900,2020-01-28 15:20:21,"https://poll.qu.edu/national/release-detail?ReleaseID=3654",2020-01-22,2020-01-27,"1","Biden","","+5.0","#009900",26,21.0,15, 8, 6, 7,NA,NA, 3, 1,NA, 2, 0, 0, 0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,267,204,"yes","yes","Live","no",-0.1,-0.2,"B+","D +0.2","83%","25%",4.6,5.5,-0.7,-0.1,-0.1,-0.2,152,"D +0.2","D +0.2","D +0.5",5.2,0.00
"124","Morning Consult","Politico/Morning Consult","126195","poll","1/20 - 1/26","","17836 RV","","",Biden,,+6.0,#009900,2020-02-19 08:52:21,"https://morningconsult.com/2020-democratic-primary/",2020-01-20,2020-01-26,"1","Biden","","+6.0","#009900",29,23.0,14,12, 7, 3,NA,NA, 5, 1,NA, 3, 1, 0, 1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,218, 12,"no","no","Online","no", 0.2, 1.0,"B/C°","D +0.2","75%","25%",3.0,3.5,-0.4, 0.2, 0.1, 1.0, 12,"D +0.6","D +0.2","R +0.6",3.6,0.00
"1","ABC News/Washington Post","ABC News/Wash Post","126155","poll","1/20 - 1/23",""," LV","","",Biden,,+12.0,#009900,2020-01-26 00:33:16,"https://abcnews.go.com/Politics/biden-holds-steady-warren-slips-iowa-caucuses-approach/story?id=68518223&amp;mc_cid=7672179d16&amp;mc_eid=9430bf74bd",2020-01-20,2020-01-23,"1","Biden","","+12.0","#009900",34,22.0,14, 7, 4, 4,NA,NA, 6, 0,NA, 1, 2, 1, 0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  3, 63,"yes","yes","Live","no",-1.5,-1.3,"A+","D +0.6","79%","5%",2.8,4.6,-1.7,-1.5,-1.1,-1.3, 58,"D +0.9","D +0.6","D +1.5",3.8,0.02
"32","Emerson College","Emerson","126131","poll","1/21 - 1/23","","497 LV","","",Biden,,+3.0,#009900,2020-01-23 22:38:21,"https://emersonpolling.reportablenews.com/pr/national-2020-biden-and-sanders-battle-in-two-way-race-for-democratic-nomination",2020-01-21,2020-01-23,"1","Biden","","+3.0","#009900",30,27.0,13, 7, 6, 4,NA,NA, 8, 1,NA, 1, 1, 0, 1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, 88,142,"yes","no","IVR/Online","no",-1.1,-0.5,"A-","R +0.0","81%","18%",5.0,6.1,-0.9,-1.1,-1.0,-0.5,113,"R +0.0","R +0.0","R +1.4",4.8,0.23
"45","Fox News/Beacon Research/Shaw & Co. Research","FOX News","126157","poll","1/19 - 1/22","","495 LV","","",Biden,,+3.0,#009900,2020-01-26 09:19:44,"https://www.foxnews.com/politics/fox-news-poll-record-economy-ratings-as-half-say-senate-should-remove-trump",2020-01-19,2020-01-22,"1","Biden","","+3.0","#009900",26,23.0,14,10, 7, 3,NA,NA, 5, 0,NA, 3, 0, 1, 0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,103, 40,"yes","yes","Live","no",-0.5,-0.5,"A-","D +1.5","71%","38%",5.6,5.7, 0.1,-0.5,-0.3,-0.5, 25,"D +2.7","D +1.5","D +1.0",4.9,0.00
"285",NA,"The Hill/HarrisX","126266","poll","1/20 - 1/22","","878 RV","3.3","",Biden,,+12.0,#009900,2020-01-30 14:33:19,"https://www.youtube.com/watch?v=h2qaPsHVvU8",2020-01-20,2020-01-22,"1","Biden","","+12.0","#009900",29,17.0, 9,11, 5, 2,NA,NA, 4, 2,NA, 4,NA, 1, 1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"237","YouGov","Economist/YouGov","126077","poll","1/19 - 1/21","","470 LV","","",Biden,,+7.0,#009900,2020-01-22 09:42:23,"https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/alq58zq5zt/econTabReport.pdf",2020-01-19,2020-01-21,"1","Biden","","+7.0","#009900",28,18.0,21, 6, 8, 4,NA,NA, 3, 3,NA, 2, 0, 0, 0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,391,395,"no","no","Online","no",-0.1, 0.4,"B-","D +0.4","89%","30%",5.0,5.1, 0.0,-0.1,-0.1, 0.4,347,"D +0.4","D +0.4","D +0.3",4.6,0.00
"98","Monmouth University","Monmouth","126076","poll","1/16 - 1/20","","372 RV","5.1","",Biden,,+7.0,#009900,2020-01-22 09:11:21,"https://www.monmouth.edu/polling-institute/reports/monmouthpoll_US_012220/",2020-01-16,2020-01-20,"1","Biden","","+7.0","#009900",30,23.0,14, 9, 6, 5,NA,NA, 3, 1,NA, 1, 1, 0, 0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,215,100,"yes","yes","Live","no",-1.9,-1.5,"A+","D +1.3","80%","21%",5.2,6.5,-1.1,-1.9,-1.6,-1.5, 70,"D +1.8","D +1.3","R +0.5",5.1,0.20
"13","CNN/Opinion Research Corp.","CNN","126054","poll","1/16 - 1/19","","500 RV","","",Sanders,,+3.0,#457fff,2020-01-22 08:35:20,"https://cdn.cnn.com/cnn/2020/images/01/22/rel1b.-.2020.pdf",2020-01-16,2020-01-19,"1","Sanders","","+3.0","#457fff",24,27.0,14, 5,11, 4,NA,NA, 4, 0,NA, 2, 0, 0, 0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, 37, 98,"yes","yes","Live","no",-0.2,-0.1,"B+","D +0.1","72%","24%",5.4,6.0,-0.4,-0.2,-0.2,-0.1, 70,"D +0.1","D +0.1","D +0.2",4.6,0.20
"115","Morning Consult","Politico/Morning Consult","126055","poll","1/15 - 1/19","","12402 LV","","",Biden,,+5.0,#009900,2020-02-19 08:52:58,"https://morningconsult.com/2020-democratic-primary/",2020-01-15,2020-01-19,"1","Biden","","+5.0","#009900",29,24.0,15,10, 8, 3,NA,NA, 4, 2,NA, 3, 1, 0, 1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,218, 12,"no","no","Online","no", 0.2, 1.0,"B/C°","D +0.2","75%","25%",3.0,3.5,-0.4, 0.2, 0.1, 1.0, 12,"D +0.6","D +0.2","R +0.6",3.6,0.00
"205","SurveyUSA","SurveyUSA","126020","poll","1/14 - 1/16","","1086 LV","3.6","",Biden,,+11.0,#009900,2020-01-17 23:08:44,"http://www.surveyusa.com/client/PollReport.aspx?g=b4747822-277e-4d2c-b896-eb4e04672c09",2020-01-14,2020-01-16,"1","Biden","","+11.0","#009900",32,21.0,14, 9, 9, 2,NA,NA, 4, 2,NA, 3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,325,790,"yes","partial","IVR/Online/Live","no",-1.1,-0.8,"A","D +0.1","90%","19%",4.6,5.9,-1.1,-1.1,-1.0,-0.8,628,"D +0.1","D +0.1","R +0.3",5.0,0.12
"255","YouGov","Economist/YouGov","125964","poll","1/11 - 1/14","","521 RV","","",Biden,,+7.0,#009900,2020-01-15 10:05:45,"https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/ueji3eha6i/econTabReport.pdf",2020-01-11,2020-01-14,"1","Biden","","+7.0","#009900",27,20.0,19, 5, 7, 3,NA,NA, 3, 2, 2, 1, 0, 0, 0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,391,395,"no","no","Online","no",-0.1, 0.4,"B-","D +0.4","89%","30%",5.0,5.1, 0.0,-0.1,-0.1, 0.4,347,"D +0.4","D +0.4","D +0.3",4.6,0.00
"275",NA,"The Hill/HarrisX","125942","poll","1/13 - 1/14","","451 RV","4.6","",Biden,,+10.0,#009900,2020-01-20 11:57:35,"https://thehill.com/hilltv/rising/478208-sanders-hits-highest-support-since-august",2020-01-13,2020-01-14,"1","Biden","","+10.0","#009900",29,19.0,11, 7, 4, 3,NA,NA, 2, 1,NA, 3, 2, 0, 1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"137","Morning Consult","Politico/Morning Consult","125937","poll","1/6 - 1/12","","17096 RV","","",Biden,,+6.0,#009900,2020-02-03 14:58:46,"https://morningconsult.com/2020-democratic-primary/",2020-01-06,2020-01-12,"1","Biden","","+6.0","#009900",29,23.0,14, 8, 8, 3,NA,NA, 5, 2, 2, 4, 1, 0, 1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,218, 12,"no","no","Online","no", 0.2, 1.0,"B/C°","D +0.2","75%","25%",3.0,3.5,-0.4, 0.2, 0.1, 1.0, 12,"D +0.6","D +0.2","R +0.6",3.6,0.00
"188","Quinnipiac University","Quinnipiac","125917","poll","1/8 - 1/12","","651 RV","3.8","",Biden,,+6.0,#009900,2020-01-13 15:06:37,"https://poll.qu.edu/national/release-detail?ReleaseID=3653",2020-01-08,2020-01-12,"1","Biden","","+6.0","#009900",25,19.0,16, 6, 8, 4,NA,NA, 5, 1, 1, 1, 1, 1, 0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,267,204,"yes","yes","Live","no",-0.1,-0.2,"B+","D +0.2","83%","25%",4.6,5.5,-0.7,-0.1,-0.1,-0.2,152,"D +0.2","D +0.2","D +0.5",5.2,0.00
